# op|a_le_hex|b_le_hex|expected_le_hex
add|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
sub|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|46fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64300000000000000000000000000000000000000000000000000000000000000000
mul|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
square|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
conjugate|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
add|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|02000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
sub|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
mul|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
square|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
inv|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
conjugate|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
add|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000|03000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000
sub|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000|030000000000000000000000000000000000000000000000000000000000000040fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430
mul|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000|00000000000000000000000000000000000000000000000000000000000000001500000000000000000000000000000000000000000000000000000000000000
square|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|09000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
inv|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|85535390645dc0d20887f69a0b4756ba93e50001cf8335d01bc0cb40f7de42200000000000000000000000000000000000000000000000000000000000000000
conjugate|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-|03000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
